Merchant,Amount,Category,Card,Date,Note
Dental Care,295.91,Health,DBS Live Fresh,2014-01-26 09:04:45,Dinner with friends
Subway,18.87,Food & Drinks,DBS Live Fresh,2012-07-26 09:44:09,
Local Shop,135.70,Other,UOB One,2017-12-05 11:13:53,Lunch
Optics,13.48,Health,UOB One,2015-12-26 10:24:54,
Optics,451.03,Health,DBS Live Fresh,2019-04-17 18:57:14,Dinner with friends
Utilities Co,31.72,Services,Chase Sapphire Preferred,2021-05-19 16:25:46,Top-up
Decathlon,63.66,Shopping,DBS Live Fresh,2016-09-14 14:42:01,Delivery fee
Walmart,371.64,Shopping,UOB One,2014-06-05 11:13:29,Membership renewal
Chipotle,52.70,Food & Drinks,UOB One,2011-05-24 12:47:34,Sale promo
Target,1564.65,Shopping,Chase Sapphire Preferred,2021-02-01 04:01:15,Lunch
Lyft,261.18,Travel,Amex Gold,2021-05-22 07:13:29,
Dental Care,367.48,Health,Amex Gold,2022-09-22 16:49:52,Pharmacy run
Supermart,371.91,Other,Chase Sapphire Preferred,2019-10-18 16:24:25,
Amazon,1384.32,Shopping,DBS Live Fresh,2020-09-02 09:44:49,Fuel
Pharmacy,324.32,Health,Citi Rewards,2021-04-03 11:32:41,Delivery fee
Optics,265.78,Health,Chase Sapphire Preferred,2016-02-29 15:53:29,
Spotify,42.22,Services,HSBC Revolution,2021-01-24 09:51:58,Snacks
Utilities Co,47.81,Services,HSBC Revolution,2015-06-26 19:53:59,Top-up
Walmart,1144.00,Shopping,UOB One,2021-05-14 11:01:31,
Zara,716.10,Shopping,Amex Gold,2014-05-25 10:56:38,
Burger King,104.78,Food & Drinks,Chase Sapphire Preferred,2013-04-02 06:46:26,Coffee
Apple TV+,143.23,Entertainment,HSBC Revolution,2017-08-16 18:05:18,Coffee
Local Cafe,75.70,Food & Drinks,DBS Live Fresh,2019-06-02 13:27:47,
Local Cafe,56.37,Food & Drinks,UOB One,2014-04-12 09:46:12,Gift
IKEA,973.56,Shopping,HSBC Revolution,2022-04-30 14:48:33,
Google,94.86,Other,Citi Rewards,2013-01-20 10:45:34,Groceries
Supermart,280.48,Other,Citi Rewards,2012-02-24 15:48:31,Lunch
Grab,962.64,Travel,UOB One,2015-10-19 08:03:16,
Netflix,32.66,Services,Chase Sapphire Preferred,2011-04-06 14:43:03,Pharmacy run
Google,225.44,Other,Chase Sapphire Preferred,2017-01-30 14:50:39,Weekend trip
Utilities Co,24.49,Services,UOB One,2020-01-05 23:19:36,
Expedia,1895.70,Travel,Chase Sapphire Preferred,2013-07-15 15:16:42,Coffee
Decathlon,321.50,Shopping,Chase Sapphire Preferred,2016-12-13 12:38:30,Coffee
Local Cafe,141.49,Food & Drinks,Citi Rewards,2017-09-22 06:14:59,Household items
Netflix,18.76,Services,DBS Live Fresh,2012-07-14 20:52:09,Gift
Dental Care,451.89,Health,DBS Live Fresh,2019-09-07 20:28:07,Pharmacy run
Apple TV+,101.59,Entertainment,Citi Rewards,2018-05-27 12:38:02,
Concerts,52.32,Entertainment,DBS Live Fresh,2011-07-22 09:43:53,
Uber,1644.63,Travel,HSBC Revolution,2019-10-21 04:48:11,Top-up
McDonald's,88.87,Food & Drinks,DBS Live Fresh,2023-11-08 13:05:30,Hotel deposit
Local Cafe,171.97,Food & Drinks,Chase Sapphire Preferred,2015-08-12 11:31:18,
Phone Carrier,36.93,Services,Chase Sapphire Preferred,2015-05-09 09:07:49,Weekend trip
Pharmacy,522.93,Health,HSBC Revolution,2017-11-10 11:12:33,Snacks
Apple TV+,43.10,Entertainment,Chase Sapphire Preferred,2019-05-06 07:18:28,
Netflix,77.88,Services,Chase Sapphire Preferred,2020-05-11 18:45:10,Lunch
AirAsia,457.15,Travel,Chase Sapphire Preferred,2024-04-25 20:29:07,
Zara,590.80,Shopping,HSBC Revolution,2022-01-01 09:53:30,
Zara,297.84,Shopping,DBS Live Fresh,2013-03-30 20:32:47,
Pharmacy,465.88,Health,Citi Rewards,2024-07-15 11:59:50,Lunch
Local Cafe,167.98,Food & Drinks,Citi Rewards,2019-11-13 23:31:55,Snacks
Subway,153.29,Food & Drinks,DBS Live Fresh,2016-06-01 12:20:55,Coffee
AirAsia,1713.47,Travel,Amex Gold,2016-12-27 04:47:30,
Optics,593.16,Health,UOB One,2023-06-25 18:09:31,
Decathlon,670.67,Shopping,DBS Live Fresh,2011-09-16 19:28:06,Top-up
Google,349.02,Other,UOB One,2012-08-17 06:50:16,Membership renewal
Cinema,170.91,Entertainment,Citi Rewards,2024-08-14 13:20:40,
Optics,31.18,Health,DBS Live Fresh,2011-03-02 09:43:58,Coffee
Cinema,195.73,Entertainment,UOB One,2022-12-08 15:55:06,Pharmacy run
Apple,319.48,Other,Citi Rewards,2014-12-28 10:27:09,Delivery fee
Expedia,348.27,Travel,Amex Gold,2011-05-06 14:24:39,
Phone Carrier,19.34,Services,Amex Gold,2020-11-07 09:16:42,Top-up
Local Cafe,34.12,Food & Drinks,DBS Live Fresh,2017-07-07 21:37:19,
Adobe,37.09,Services,Citi Rewards,2015-02-21 08:24:54,Coffee
Phone Carrier,46.41,Services,Citi Rewards,2021-11-24 10:53:42,Lunch
Shell,1558.84,Travel,HSBC Revolution,2010-11-01 20:47:31,
Chipotle,122.59,Food & Drinks,Amex Gold,2015-12-30 09:12:39,Airport ride
Cinema,130.33,Entertainment,HSBC Revolution,2015-04-04 17:02:37,Airport ride
Misc Store,300.25,Other,Citi Rewards,2012-12-27 09:50:34,
Burger King,182.96,Food & Drinks,DBS Live Fresh,2024-02-17 08:58:52,
Dental Care,523.53,Health,HSBC Revolution,2023-09-07 07:04:09,
Walmart,1451.19,Shopping,HSBC Revolution,2016-10-05 21:51:35,Membership renewal
Misc Store,53.82,Other,DBS Live Fresh,2016-04-09 16:43:16,
Dental Care,408.15,Health,Chase Sapphire Preferred,2018-01-08 02:56:35,Coffee
Cinema,165.30,Entertainment,HSBC Revolution,2025-06-21 16:41:26,Groceries
Misc Store,50.87,Other,UOB One,2013-12-29 19:08:24,Delivery fee
Expedia,317.50,Travel,HSBC Revolution,2017-01-22 15:53:31,
Starbucks,75.99,Food & Drinks,HSBC Revolution,2017-07-18 12:15:54,Sale promo
Expedia,130.49,Travel,Citi Rewards,2014-09-11 08:07:54,
Google,257.60,Other,HSBC Revolution,2010-05-13 05:21:15,
Clinic,499.59,Health,Chase Sapphire Preferred,2019-06-06 09:13:52,
Chipotle,158.36,Food & Drinks,Amex Gold,2020-02-21 00:54:09,
Grab,228.75,Travel,Amex Gold,2024-09-27 02:00:22,
Decathlon,41.40,Shopping,Citi Rewards,2014-07-07 05:47:26,Monthly subscription
Utilities Co,41.55,Services,Citi Rewards,2011-11-09 12:14:39,Weekend trip
KFC,192.91,Food & Drinks,HSBC Revolution,2011-01-13 23:54:25,Fuel
Adobe,6.81,Services,UOB One,2011-05-18 10:09:04,Hotel deposit
Phone Carrier,24.30,Services,DBS Live Fresh,2018-08-08 14:06:50,
Clinic,276.42,Health,UOB One,2013-11-20 11:52:29,Fuel
KFC,134.03,Food & Drinks,Citi Rewards,2016-05-14 21:43:59,Monthly subscription
Pharmacy,264.81,Health,Chase Sapphire Preferred,2022-09-01 17:51:08,
Qantas,666.00,Travel,DBS Live Fresh,2012-01-30 11:55:42,
Adobe,77.50,Services,Chase Sapphire Preferred,2020-03-19 10:06:36,Airport ride
Apple TV+,169.91,Entertainment,Amex Gold,2015-12-16 18:23:07,
Lyft,1691.86,Travel,UOB One,2023-01-21 18:39:43,
Supermart,332.64,Other,HSBC Revolution,2014-07-20 02:17:44,
Subway,38.74,Food & Drinks,Chase Sapphire Preferred,2012-06-09 14:25:04,Lunch
Supermart,153.60,Other,Amex Gold,2017-09-19 10:23:19,
Pharmacy,101.79,Health,Chase Sapphire Preferred,2022-11-01 15:43:05,Delivery fee
Phone Carrier,33.72,Services,UOB One,2013-09-01 17:07:22,Pharmacy run
Steam,106.81,Entertainment,UOB One,2015-04-01 04:25:38,Household items
McDonald's,153.54,Food & Drinks,Amex Gold,2014-12-04 10:00:31,
IKEA,1069.84,Shopping,UOB One,2013-11-30 13:53:42,
Local Shop,21.71,Other,HSBC Revolution,2010-04-27 12:04:55,Delivery fee
AirAsia,1283.88,Travel,HSBC Revolution,2014-12-04 07:01:20,Top-up
Dental Care,267.66,Health,Chase Sapphire Preferred,2011-10-20 09:37:25,Membership renewal
Dental Care,210.31,Health,HSBC Revolution,2015-09-01 17:04:32,
Qantas,1812.79,Travel,Amex Gold,2015-12-11 10:52:41,
Amazon,519.38,Shopping,Amex Gold,2012-12-14 14:48:48,
Walmart,993.29,Shopping,HSBC Revolution,2022-11-01 14:37:28,
Expedia,1973.20,Travel,HSBC Revolution,2015-07-02 19:40:20,Monthly subscription
Utilities Co,24.92,Services,HSBC Revolution,2014-09-03 14:22:32,Top-up
Netflix,30.13,Services,Chase Sapphire Preferred,2014-11-19 06:55:54,Weekend trip
Utilities Co,44.79,Services,DBS Live Fresh,2023-06-22 17:02:28,
Expedia,649.84,Travel,Amex Gold,2018-02-03 13:03:28,Hotel deposit
Cinema,130.29,Entertainment,DBS Live Fresh,2010-09-01 09:28:28,Gift
Subway,79.32,Food & Drinks,Citi Rewards,2023-03-06 10:38:03,
Concerts,67.95,Entertainment,Chase Sapphire Preferred,2019-06-30 16:18:16,
Steam,68.67,Entertainment,Amex Gold,2019-12-01 15:58:22,Membership renewal
Decathlon,1876.62,Shopping,HSBC Revolution,2015-04-08 14:41:50,Airport ride
Steam,130.27,Entertainment,Chase Sapphire Preferred,2017-03-15 13:01:23,Household items
Chipotle,40.83,Food & Drinks,UOB One,2012-05-04 08:18:54,
Shell,1671.89,Travel,DBS Live Fresh,2025-01-13 13:42:21,
Lyft,759.67,Travel,DBS Live Fresh,2012-10-05 08:44:49,
Target,96.95,Shopping,UOB One,2016-03-13 16:15:28,
Optics,325.07,Health,Amex Gold,2015-04-07 21:50:30,
Uniqlo,1894.79,Shopping,HSBC Revolution,2017-06-30 12:18:49,Weekend trip
Spotify,64.30,Services,Amex Gold,2012-05-09 19:03:41,Sale promo
Uber,1693.33,Travel,HSBC Revolution,2024-06-24 07:05:48,Top-up
Lyft,192.51,Travel,UOB One,2025-06-28 09:28:56,Lunch
Netflix,40.66,Services,UOB One,2014-01-05 11:05:23,Hotel deposit
Misc Store,59.35,Other,Amex Gold,2014-11-18 20:30:44,
Optics,373.06,Health,UOB One,2025-05-30 06:16:13,
Expedia,1060.27,Travel,DBS Live Fresh,2011-11-22 17:15:19,Coffee
Adobe,37.11,Services,DBS Live Fresh,2011-11-20 18:31:38,Weekend trip
Lyft,295.72,Travel,HSBC Revolution,2017-04-21 00:22:15,
Target,180.37,Shopping,HSBC Revolution,2016-02-19 05:33:34,Weekend trip
Uber,1747.93,Travel,UOB One,2010-09-28 15:23:16,
Chipotle,70.93,Food & Drinks,Chase Sapphire Preferred,2022-06-21 15:06:49,
Dental Care,36.16,Health,Amex Gold,2019-04-16 10:41:11,
Apple TV+,97.27,Entertainment,HSBC Revolution,2013-02-06 18:04:45,
Netflix,16.93,Services,Citi Rewards,2023-06-17 08:02:20,
AirAsia,952.07,Travel,DBS Live Fresh,2010-08-16 17:12:18,Groceries
Dental Care,83.44,Health,Citi Rewards,2016-04-05 12:25:47,Membership renewal
McDonald's,139.34,Food & Drinks,UOB One,2016-04-01 20:33:17,
Apple TV+,87.83,Entertainment,Chase Sapphire Preferred,2023-12-28 08:18:20,Hotel deposit
Concerts,90.85,Entertainment,Citi Rewards,2022-03-18 11:44:28,Groceries
Concerts,199.64,Entertainment,DBS Live Fresh,2014-09-03 15:50:03,Membership renewal
Burger King,136.84,Food & Drinks,HSBC Revolution,2010-07-13 08:38:43,
Google,98.22,Other,Chase Sapphire Preferred,2020-12-22 11:24:36,Airport ride
Apple TV+,76.29,Entertainment,Citi Rewards,2022-12-25 06:08:33,Hotel deposit
Concerts,192.22,Entertainment,Amex Gold,2010-06-11 17:31:33,Fuel
Chipotle,141.70,Food & Drinks,Citi Rewards,2013-08-26 23:18:44,
Spotify,11.72,Services,Chase Sapphire Preferred,2011-04-06 12:57:45,Monthly subscription
Dental Care,214.98,Health,HSBC Revolution,2011-02-08 13:18:57,Gift
Arcade,103.22,Entertainment,Citi Rewards,2012-01-25 22:50:08,Snacks
Misc Store,231.05,Other,DBS Live Fresh,2017-12-14 18:35:08,
Apple,162.27,Other,Citi Rewards,2022-03-13 16:33:26,
Pharmacy,583.70,Health,Amex Gold,2020-12-05 06:29:43,Airport ride
Clinic,265.24,Health,Amex Gold,2025-06-29 19:53:07,Pharmacy run
IKEA,1870.13,Shopping,Citi Rewards,2013-11-02 10:33:57,Monthly subscription
McDonald's,191.40,Food & Drinks,HSBC Revolution,2014-09-02 07:19:39,Weekend trip
Arcade,188.50,Entertainment,DBS Live Fresh,2012-08-16 08:39:46,
Chipotle,11.12,Food & Drinks,DBS Live Fresh,2024-09-11 02:02:41,
Local Cafe,154.09,Food & Drinks,Amex Gold,2017-02-01 15:01:31,
Grab,1913.73,Travel,HSBC Revolution,2018-03-20 09:51:43,Top-up
Apple,178.64,Other,Amex Gold,2018-03-29 12:21:38,Hotel deposit
Concerts,28.76,Entertainment,UOB One,2016-04-21 13:06:20,Fuel
KFC,30.75,Food & Drinks,Amex Gold,2010-11-11 10:24:55,
Walmart,1628.82,Shopping,Amex Gold,2019-10-30 16:12:48,Weekend trip
Utilities Co,40.29,Services,Citi Rewards,2011-07-14 21:32:29,
Decathlon,106.83,Shopping,Citi Rewards,2014-10-15 13:56:53,
iCloud,1.65,Services,DBS Live Fresh,2011-10-30 12:56:16,
Optics,36.69,Health,Citi Rewards,2010-11-14 14:12:23,
Local Shop,182.89,Other,DBS Live Fresh,2019-05-10 09:39:43,
Amazon,752.66,Shopping,UOB One,2015-10-09 14:23:48,Weekend trip
Phone Carrier,4.58,Services,Chase Sapphire Preferred,2012-05-01 16:51:30,Airport ride
Qantas,662.65,Travel,Amex Gold,2020-06-06 10:25:39,
Burger King,102.94,Food & Drinks,Citi Rewards,2018-09-03 13:45:36,Lunch
Subway,24.59,Food & Drinks,HSBC Revolution,2017-02-01 14:50:57,
Cinema,96.49,Entertainment,DBS Live Fresh,2021-02-25 17:49:37,
Cinema,97.65,Entertainment,DBS Live Fresh,2018-12-02 15:39:49,
Walmart,491.97,Shopping,HSBC Revolution,2019-09-28 21:07:12,Hotel deposit
Spotify,55.55,Services,UOB One,2016-12-24 13:39:58,Groceries
Arcade,43.85,Entertainment,DBS Live Fresh,2015-07-13 23:30:33,Gift
Phone Carrier,44.16,Services,Citi Rewards,2021-07-01 17:46:43,
Concerts,98.38,Entertainment,DBS Live Fresh,2014-03-12 09:19:14,
Chipotle,141.87,Food & Drinks,Citi Rewards,2021-09-29 16:20:30,Dinner with friends
Starbucks,136.29,Food & Drinks,DBS Live Fresh,2016-06-17 19:25:52,Airport ride
Starbucks,191.20,Food & Drinks,Citi Rewards,2011-05-07 10:28:41,Snacks
IKEA,549.55,Shopping,DBS Live Fresh,2019-07-25 16:08:06,
Lyft,111.02,Travel,Amex Gold,2025-05-26 13:40:14,Delivery fee
Local Cafe,22.81,Food & Drinks,UOB One,2023-02-11 07:35:59,Snacks
Adobe,60.72,Services,Amex Gold,2014-11-20 10:41:03,
Supermart,216.39,Other,Amex Gold,2022-04-21 19:02:58,
Spotify,79.78,Services,Chase Sapphire Preferred,2016-10-02 17:11:59,
Dental Care,15.47,Health,Chase Sapphire Preferred,2019-08-31 14:59:21,Weekend trip
Spotify,37.97,Services,DBS Live Fresh,2013-04-13 18:21:10,
Concerts,39.68,Entertainment,HSBC Revolution,2022-07-14 10:18:36,
IKEA,1713.73,Shopping,DBS Live Fresh,2025-04-06 11:27:32,Membership renewal
Cinema,196.39,Entertainment,Amex Gold,2018-02-14 10:15:00,Coffee
iCloud,24.85,Services,Citi Rewards,2022-04-19 14:16:41,Coffee
Apple,126.19,Other,UOB One,2016-11-24 16:59:57,
Dental Care,79.28,Health,HSBC Revolution,2025-08-02 21:23:39,Airport ride
Spotify,60.07,Services,UOB One,2020-04-21 11:44:35,
Clinic,411.40,Health,Amex Gold,2020-02-20 19:05:33,Sale promo
Supermart,29.39,Other,Chase Sapphire Preferred,2019-04-26 20:12:36,Gift
Chipotle,90.04,Food & Drinks,DBS Live Fresh,2021-07-29 09:37:31,Weekend trip
Netflix,11.42,Services,UOB One,2017-01-25 12:03:35,Pharmacy run
Cinema,53.13,Entertainment,UOB One,2010-01-19 17:37:04,Sale promo
Cinema,198.84,Entertainment,DBS Live Fresh,2025-03-19 05:59:30,Delivery fee
Walmart,1534.00,Shopping,Amex Gold,2022-05-29 15:26:23,
Utilities Co,30.68,Services,UOB One,2021-08-13 21:55:34,Sale promo
Google,160.26,Other,DBS Live Fresh,2012-03-02 16:14:53,Lunch
KFC,144.66,Food & Drinks,HSBC Revolution,2017-03-20 13:52:14,Sale promo
Uniqlo,1875.45,Shopping,Amex Gold,2022-05-03 17:02:51,
Shell,488.93,Travel,Chase Sapphire Preferred,2011-02-23 07:02:28,
Cinema,148.89,Entertainment,Amex Gold,2016-11-04 12:34:13,
Pharmacy,307.30,Health,Amex Gold,2014-12-03 09:58:46,
Qantas,1638.58,Travel,HSBC Revolution,2014-01-12 10:09:42,Delivery fee
Subway,112.67,Food & Drinks,Chase Sapphire Preferred,2020-01-25 19:58:11,
Phone Carrier,4.70,Services,UOB One,2015-11-11 21:42:24,
Local Cafe,83.43,Food & Drinks,UOB One,2015-02-07 11:48:34,Coffee
Chipotle,31.44,Food & Drinks,HSBC Revolution,2017-11-17 20:35:26,
Qantas,782.95,Travel,Amex Gold,2014-05-04 09:41:05,
Dental Care,326.02,Health,Chase Sapphire Preferred,2024-02-10 08:17:24,
Uber,384.44,Travel,Chase Sapphire Preferred,2022-12-17 14:42:35,Household items
Dental Care,574.64,Health,Citi Rewards,2010-04-06 09:12:47,Snacks
Target,1410.50,Shopping,DBS Live Fresh,2016-09-30 20:35:20,
Utilities Co,52.25,Services,DBS Live Fresh,2015-04-01 09:32:56,Fuel
Optics,549.45,Health,Citi Rewards,2016-04-22 10:02:36,
Arcade,54.37,Entertainment,Chase Sapphire Preferred,2019-12-09 14:26:18,Hotel deposit
Zara,1668.39,Shopping,DBS Live Fresh,2018-06-30 14:43:21,Snacks
Apple TV+,36.14,Entertainment,UOB One,2023-07-11 10:08:46,Gift
Expedia,1052.65,Travel,Chase Sapphire Preferred,2024-04-10 18:52:42,Lunch
Spotify,19.28,Services,HSBC Revolution,2022-01-12 08:13:32,Groceries
Expedia,1868.47,Travel,HSBC Revolution,2025-07-12 12:31:01,Delivery fee
Apple,290.27,Other,DBS Live Fresh,2019-02-11 22:01:32,
Apple TV+,24.08,Entertainment,Amex Gold,2011-08-22 13:15:12,
Chipotle,55.66,Food & Drinks,Citi Rewards,2016-10-02 06:25:29,
Arcade,137.76,Entertainment,Citi Rewards,2024-06-04 06:54:41,
Local Shop,153.98,Other,UOB One,2018-02-05 05:00:44,Snacks
Optics,472.78,Health,HSBC Revolution,2019-08-18 22:06:57,Groceries
IKEA,1776.23,Shopping,HSBC Revolution,2018-02-02 09:59:04,
Burger King,132.65,Food & Drinks,DBS Live Fresh,2013-01-19 20:20:01,
Lyft,1643.60,Travel,HSBC Revolution,2025-10-20 06:10:36,Membership renewal
Steam,78.62,Entertainment,Citi Rewards,2022-08-02 07:44:46,Sale promo
Apple,96.70,Other,UOB One,2011-04-18 10:49:39,
iCloud,51.10,Services,Chase Sapphire Preferred,2023-05-01 23:31:14,Membership renewal
Spotify,47.28,Services,HSBC Revolution,2016-06-19 06:39:18,
Cinema,55.79,Entertainment,Chase Sapphire Preferred,2016-06-19 16:40:09,
Subway,21.03,Food & Drinks,Chase Sapphire Preferred,2015-03-31 12:48:17,Monthly subscription
Zara,1118.40,Shopping,UOB One,2018-09-20 11:01:05,Monthly subscription
Qantas,1728.80,Travel,Citi Rewards,2010-03-18 10:24:49,Coffee
Qantas,1373.78,Travel,Amex Gold,2012-11-19 07:19:17,Monthly subscription
Zara,847.99,Shopping,Citi Rewards,2018-03-28 17:23:16,
Apple TV+,124.48,Entertainment,DBS Live Fresh,2017-10-16 07:19:00,
Chipotle,77.84,Food & Drinks,DBS Live Fresh,2024-09-01 10:21:27,
Clinic,199.19,Health,Citi Rewards,2021-10-30 09:20:11,
Subway,139.91,Food & Drinks,HSBC Revolution,2018-05-10 21:50:15,Dinner with friends
Optics,77.19,Health,Citi Rewards,2019-08-05 08:34:11,
Uber,928.63,Travel,HSBC Revolution,2022-01-19 09:51:18,
Local Shop,202.22,Other,HSBC Revolution,2020-10-10 10:16:42,Delivery fee
Optics,274.95,Health,Chase Sapphire Preferred,2020-03-04 12:25:34,Delivery fee
Uber,1406.25,Travel,Citi Rewards,2023-10-27 13:40:58,Coffee
Concerts,130.46,Entertainment,Amex Gold,2010-10-03 14:41:43,
Dental Care,72.51,Health,UOB One,2011-09-05 09:32:47,Coffee
iCloud,37.58,Services,UOB One,2021-07-24 14:32:09,Lunch
Netflix,33.86,Services,Citi Rewards,2011-06-18 07:46:09,Hotel deposit
Spotify,39.15,Services,DBS Live Fresh,2018-02-06 06:46:44,Monthly subscription
Starbucks,25.67,Food & Drinks,HSBC Revolution,2024-06-12 10:06:43,
Arcade,37.37,Entertainment,DBS Live Fresh,2012-09-22 10:27:29,Membership renewal
Arcade,129.17,Entertainment,Amex Gold,2017-05-09 11:47:39,
Phone Carrier,31.72,Services,UOB One,2021-12-28 09:17:48,
Pharmacy,70.03,Health,DBS Live Fresh,2024-11-01 13:23:20,Fuel
Local Cafe,106.96,Food & Drinks,UOB One,2020-11-15 10:24:39,Fuel
Subway,124.62,Food & Drinks,UOB One,2023-11-05 16:51:19,
Uber,276.56,Travel,HSBC Revolution,2012-01-03 09:07:11,Airport ride
AirAsia,1196.89,Travel,UOB One,2019-10-12 11:11:31,
Arcade,35.87,Entertainment,DBS Live Fresh,2014-11-30 08:20:53,Groceries
Dental Care,295.92,Health,Chase Sapphire Preferred,2013-04-27 18:35:32,
Adobe,33.83,Services,UOB One,2024-04-15 12:10:05,
Clinic,29.29,Health,Citi Rewards,2013-10-29 13:10:49,Snacks
Qantas,1149.70,Travel,Chase Sapphire Preferred,2014-07-23 17:52:23,Groceries
Optics,138.94,Health,DBS Live Fresh,2017-03-26 07:53:41,
Chipotle,91.60,Food & Drinks,Chase Sapphire Preferred,2015-12-06 19:05:28,
Google,325.23,Other,Amex Gold,2020-01-02 16:55:45,
Spotify,12.00,Services,DBS Live Fresh,2013-07-07 18:51:03,
Grab,1082.15,Travel,DBS Live Fresh,2015-07-05 22:18:18,
Pharmacy,578.04,Health,Amex Gold,2023-05-15 11:03:17,
Target,506.86,Shopping,Amex Gold,2022-02-07 10:15:48,
