Merchant,Amount,Category,Card,Date,Note
Grab,851.20,Travel,UOB One,2025-02-23 09:31:41,
Amazon,1271.57,Shopping,DBS Live Fresh,2024-02-17 14:31:44,
Subway,75.97,Food & Drinks,Chase Sapphire Preferred,2024-12-02 15:12:23,Monthly subscription
Burger King,85.52,Food & Drinks,Citi Rewards,2025-10-20 07:04:22,Top-up
Qantas,929.45,Travel,Chase Sapphire Preferred,2024-11-20 21:11:41,Groceries
Lazada,730.79,Shopping,Chase Sapphire Preferred,2025-10-11 14:42:48,Hotel deposit
Utilities Co,53.78,Services,Amex Gold,2024-02-28 21:26:01,Lunch
AirAsia,1421.36,Travel,DBS Live Fresh,2024-06-23 14:47:35,Monthly subscription
Grab,1435.99,Travel,Amex Gold,2024-12-01 18:11:40,Monthly subscription
Burger King,53.65,Food & Drinks,Chase Sapphire Preferred,2024-11-20 16:44:57,Delivery fee
Utilities Co,51.60,Services,Citi Rewards,2025-02-23 18:33:19,
Arcade,83.22,Entertainment,UOB One,2024-09-20 13:22:32,Sale promo
Clinic,40.41,Health,Chase Sapphire Preferred,2024-02-16 08:13:35,Hotel deposit
Pharmacy,139.60,Health,Chase Sapphire Preferred,2024-11-29 07:27:25,Delivery fee
Apple TV+,43.94,Entertainment,UOB One,2024-09-20 12:01:48,Lunch
Zara,275.16,Shopping,DBS Live Fresh,2025-08-08 07:26:58,
Burger King,110.90,Food & Drinks,DBS Live Fresh,2024-02-14 12:33:40,Sale promo
Clinic,102.19,Health,UOB One,2024-02-18 19:59:10,
Shopee,109.75,Shopping,Amex Gold,2024-10-03 07:38:42,Delivery fee
Uber,925.07,Travel,UOB One,2024-09-19 10:30:19,Fuel
Clinic,229.74,Health,Chase Sapphire Preferred,2024-12-31 09:31:56,
Dental Care,129.31,Health,Amex Gold,2024-05-21 08:45:17,
Netflix,55.38,Services,Chase Sapphire Preferred,2024-09-17 18:22:07,Fuel
Google,67.78,Other,DBS Live Fresh,2025-02-08 09:48:52,Gift
Amazon,346.75,Shopping,Citi Rewards,2024-09-16 15:38:50,Fuel
Uber,1230.92,Travel,DBS Live Fresh,2024-03-13 18:53:25,Lunch
Grab,548.66,Travel,Citi Rewards,2025-10-01 10:15:34,Sale promo
Pharmacy,44.70,Health,Amex Gold,2024-10-10 21:16:54,Top-up
Local Shop,224.23,Other,DBS Live Fresh,2025-04-16 11:35:28,
IKEA,1332.82,Shopping,Chase Sapphire Preferred,2024-02-27 07:46:38,Coffee
iCloud,16.90,Services,DBS Live Fresh,2024-11-19 19:17:51,Dinner with friends
Subway,86.09,Food & Drinks,DBS Live Fresh,2025-03-24 12:10:44,
KFC,24.38,Food & Drinks,Citi Rewards,2025-10-21 21:57:08,
Arcade,116.45,Entertainment,UOB One,2024-04-08 12:15:49,
Utilities Co,53.22,Services,Amex Gold,2024-02-27 22:52:51,Monthly subscription
Arcade,112.20,Entertainment,Citi Rewards,2024-08-26 14:42:26,Top-up
Concerts,36.02,Entertainment,Citi Rewards,2025-10-05 19:45:36,Household items
Spotify,52.33,Services,UOB One,2025-03-24 22:12:48,Sale promo
Expedia,539.57,Travel,Citi Rewards,2024-12-01 11:35:43,
Uber,1160.64,Travel,DBS Live Fresh,2025-03-04 21:08:46,
Clinic,287.42,Health,DBS Live Fresh,2025-04-17 12:40:21,Dinner with friends
Apple,41.29,Other,UOB One,2024-05-23 08:06:53,Top-up
Utilities Co,41.40,Services,Chase Sapphire Preferred,2024-08-12 22:32:52,
Pharmacy,83.98,Health,Chase Sapphire Preferred,2025-01-06 07:42:57,
Apple,61.84,Other,Citi Rewards,2024-10-05 20:18:23,Household items
Dental Care,110.47,Health,Chase Sapphire Preferred,2025-09-24 18:38:02,Fuel
KFC,48.82,Food & Drinks,Citi Rewards,2024-08-12 10:24:04,
Pharmacy,113.24,Health,Chase Sapphire Preferred,2024-10-06 18:33:35,Monthly subscription
Arcade,12.86,Entertainment,UOB One,2025-10-20 16:33:19,Household items
Clinic,339.97,Health,Chase Sapphire Preferred,2025-01-01 11:39:51,
Zara,378.42,Shopping,Citi Rewards,2024-09-08 08:46:49,Gift
Concerts,26.06,Entertainment,Chase Sapphire Preferred,2025-08-08 10:02:09,Coffee
Uber,975.68,Travel,Chase Sapphire Preferred,2025-04-16 09:50:47,
Dental Care,387.68,Health,Citi Rewards,2024-06-02 15:26:45,
Apple,12.66,Other,Amex Gold,2024-01-29 09:26:06,Dinner with friends
Local Cafe,10.12,Food & Drinks,UOB One,2024-10-17 07:54:40,Dinner with friends
Apple,87.28,Other,UOB One,2024-10-15 21:13:03,Top-up
Local Cafe,77.46,Food & Drinks,DBS Live Fresh,2025-03-01 20:10:48,
AirAsia,175.54,Travel,DBS Live Fresh,2024-09-14 22:06:15,
Grab,30.99,Travel,UOB One,2025-07-06 21:30:22,Delivery fee
Local Shop,253.35,Other,DBS Live Fresh,2024-09-15 11:20:25,
Apple,137.37,Other,Amex Gold,2024-04-07 21:57:49,
Decathlon,691.43,Shopping,DBS Live Fresh,2024-04-10 07:34:10,
Concerts,53.40,Entertainment,Citi Rewards,2024-05-14 19:11:09,Top-up
Phone Carrier,45.52,Services,UOB One,2025-07-30 13:12:59,Pharmacy run
Spotify,9.76,Services,UOB One,2025-07-07 08:23:16,
Shopee,182.40,Shopping,UOB One,2025-03-05 13:43:33,
Local Shop,130.76,Other,UOB One,2025-09-08 13:07:49,Fuel
Concerts,82.28,Entertainment,Citi Rewards,2025-04-13 09:56:39,Lunch
Grab,1313.13,Travel,UOB One,2025-05-20 13:24:48,
Apple TV+,14.70,Entertainment,UOB One,2025-06-15 10:22:04,Top-up
Google,275.98,Other,DBS Live Fresh,2025-10-18 14:44:30,Membership renewal
Local Cafe,30.78,Food & Drinks,Chase Sapphire Preferred,2024-02-29 15:10:37,Lunch
Qantas,380.51,Travel,UOB One,2024-12-30 14:10:23,
Shell,1383.18,Travel,UOB One,2024-02-14 10:26:45,Monthly subscription
Lazada,155.86,Shopping,Chase Sapphire Preferred,2024-10-14 20:55:31,Airport ride
Local Shop,125.18,Other,Amex Gold,2024-03-11 18:07:36,
Local Cafe,68.90,Food & Drinks,UOB One,2024-04-25 16:40:07,Groceries
Concerts,112.84,Entertainment,Amex Gold,2024-09-08 17:40:38,
Netflix,45.76,Services,Chase Sapphire Preferred,2025-03-02 08:49:23,Sale promo
Apple TV+,42.19,Entertainment,DBS Live Fresh,2024-11-30 09:41:02,Monthly subscription
Netflix,25.83,Services,Chase Sapphire Preferred,2025-01-06 17:28:06,
Uber,261.21,Travel,Amex Gold,2025-10-19 08:17:26,
Utilities Co,29.59,Services,UOB One,2024-09-10 07:15:42,Dinner with friends
Local Shop,104.82,Other,Chase Sapphire Preferred,2024-10-20 16:41:02,Lunch
Local Cafe,47.85,Food & Drinks,Amex Gold,2025-09-09 20:40:06,Hotel deposit
AirAsia,1131.03,Travel,Chase Sapphire Preferred,2024-11-25 17:54:12,Hotel deposit
Qantas,459.87,Travel,Amex Gold,2025-10-15 21:02:12,Gift
Clinic,205.23,Health,DBS Live Fresh,2025-04-16 19:11:58,
Uniqlo,727.40,Shopping,Chase Sapphire Preferred,2025-10-19 21:38:45,
Concerts,40.73,Entertainment,UOB One,2025-07-07 12:29:52,Pharmacy run
Concerts,44.51,Entertainment,Amex Gold,2024-10-26 13:39:12,Membership renewal
Misc Store,217.91,Other,DBS Live Fresh,2024-12-11 11:03:39,
Uber,1291.58,Travel,DBS Live Fresh,2025-04-15 09:08:13,
Amazon,1415.39,Shopping,Chase Sapphire Preferred,2024-04-09 07:20:11,Sale promo
Google,25.92,Other,UOB One,2024-10-26 12:35:27,Dinner with friends
Clinic,203.59,Health,UOB One,2025-09-05 19:29:57,Monthly subscription
Phone Carrier,59.96,Services,Citi Rewards,2025-04-22 17:40:35,
KFC,45.90,Food & Drinks,Citi Rewards,2025-03-04 09:20:07,
Subway,57.98,Food & Drinks,Amex Gold,2025-08-09 15:39:54,Groceries
McDonald's,58.11,Food & Drinks,Amex Gold,2024-02-02 08:41:19,
Local Shop,52.06,Other,Chase Sapphire Preferred,2025-09-01 18:02:43,Sale promo
Google,111.31,Other,Amex Gold,2025-10-19 08:35:13,
Local Cafe,103.72,Food & Drinks,UOB One,2025-07-07 18:43:53,
iCloud,30.57,Services,Chase Sapphire Preferred,2024-02-19 15:25:52,Groceries
Lazada,965.10,Shopping,Citi Rewards,2024-10-13 13:41:14,
Pharmacy,38.40,Health,Citi Rewards,2024-11-29 16:15:01,Lunch
Apple TV+,96.14,Entertainment,DBS Live Fresh,2025-04-17 14:39:00,
KFC,77.89,Food & Drinks,DBS Live Fresh,2024-10-10 11:56:30,
AirAsia,39.11,Travel,Citi Rewards,2025-08-09 07:41:28,
Local Cafe,45.79,Food & Drinks,UOB One,2024-12-01 12:07:41,
Decathlon,1490.34,Shopping,Citi Rewards,2025-05-18 08:04:08,
Amazon,581.10,Shopping,Amex Gold,2025-03-02 12:14:54,Airport ride
Clinic,267.05,Health,Citi Rewards,2024-02-02 22:18:57,Gift
Apple,257.36,Other,Amex Gold,2024-12-02 10:03:34,
AirAsia,531.14,Travel,Chase Sapphire Preferred,2025-10-15 07:14:27,Lunch
Concerts,99.57,Entertainment,Chase Sapphire Preferred,2024-04-10 18:33:56,Dinner with friends
Concerts,43.92,Entertainment,Chase Sapphire Preferred,2024-02-13 13:55:00,
Apple TV+,54.11,Entertainment,Chase Sapphire Preferred,2025-03-02 22:24:14,
Apple TV+,101.17,Entertainment,DBS Live Fresh,2024-02-18 22:01:02,
iCloud,10.93,Services,Chase Sapphire Preferred,2025-07-30 11:15:55,Coffee
Spotify,22.82,Services,DBS Live Fresh,2024-09-05 21:09:25,Sale promo
Burger King,85.57,Food & Drinks,Amex Gold,2024-02-14 21:16:26,Household items
Misc Store,190.56,Other,Amex Gold,2024-11-28 19:40:30,
Google,90.01,Other,Citi Rewards,2024-09-07 15:43:46,Fuel
Apple,40.74,Other,Amex Gold,2024-10-06 18:48:21,
Uniqlo,1271.44,Shopping,Citi Rewards,2025-05-18 21:26:33,
AirAsia,134.39,Travel,UOB One,2024-06-22 20:30:34,
Arcade,103.94,Entertainment,Chase Sapphire Preferred,2024-05-30 22:06:56,Sale promo
Arcade,98.98,Entertainment,DBS Live Fresh,2024-09-16 12:00:22,Fuel
Clinic,216.27,Health,Citi Rewards,2025-08-08 07:27:45,
Starbucks,34.42,Food & Drinks,Citi Rewards,2024-11-19 17:25:35,
KFC,106.06,Food & Drinks,Chase Sapphire Preferred,2025-02-24 22:15:30,
KFC,35.37,Food & Drinks,Citi Rewards,2024-02-13 07:02:57,Membership renewal
Google,138.99,Other,UOB One,2024-01-25 08:56:39,Lunch
iCloud,43.23,Services,Amex Gold,2025-07-03 20:30:25,
Pharmacy,270.45,Health,Chase Sapphire Preferred,2024-02-28 22:40:59,Fuel
AirAsia,944.09,Travel,Chase Sapphire Preferred,2024-04-26 20:19:36,
Decathlon,643.14,Shopping,Amex Gold,2024-04-09 21:40:03,Membership renewal
Local Cafe,24.00,Food & Drinks,Amex Gold,2024-02-24 07:17:16,Delivery fee
Expedia,338.04,Travel,UOB One,2024-12-02 11:40:57,Top-up
Apple,170.91,Other,Chase Sapphire Preferred,2025-10-13 09:49:14,Groceries
Cinema,66.13,Entertainment,UOB One,2024-05-21 11:41:44,
Concerts,53.13,Entertainment,Citi Rewards,2025-03-03 17:01:15,Dinner with friends
Utilities Co,55.56,Services,Amex Gold,2025-07-30 16:47:45,
AirAsia,1444.60,Travel,Amex Gold,2024-05-31 12:58:03,Dinner with friends
Misc Store,246.58,Other,UOB One,2025-01-02 17:00:34,Airport ride
Shell,667.00,Travel,Chase Sapphire Preferred,2025-03-07 13:45:52,
Local Shop,245.08,Other,Chase Sapphire Preferred,2024-05-20 10:52:18,
Apple TV+,90.66,Entertainment,Citi Rewards,2024-12-31 09:01:57,
McDonald's,12.69,Food & Drinks,Amex Gold,2025-01-24 19:21:13,Coffee
Shopee,406.81,Shopping,Chase Sapphire Preferred,2025-10-21 12:33:37,
Uniqlo,808.74,Shopping,DBS Live Fresh,2024-03-03 14:27:07,
Google,9.52,Other,Amex Gold,2025-02-23 09:59:45,Airport ride
Uber,868.55,Travel,Amex Gold,2025-02-06 09:32:05,Sale promo
Lazada,1172.00,Shopping,Citi Rewards,2024-10-06 13:54:27,
Google,208.88,Other,DBS Live Fresh,2024-09-20 18:50:05,Pharmacy run
Netflix,32.56,Services,Amex Gold,2024-09-13 19:02:06,Sale promo
Netflix,22.49,Services,Citi Rewards,2025-02-23 21:50:28,
Google,210.43,Other,Amex Gold,2025-10-02 08:35:24,Lunch
Cinema,58.71,Entertainment,Citi Rewards,2025-02-07 20:20:42,Pharmacy run
Spotify,30.71,Services,Amex Gold,2025-10-01 22:31:00,
Netflix,53.11,Services,UOB One,2024-08-19 07:03:20,Fuel
Arcade,42.41,Entertainment,Chase Sapphire Preferred,2024-02-16 17:50:39,
Lazada,902.95,Shopping,Chase Sapphire Preferred,2025-04-17 12:16:08,Dinner with friends
Local Shop,253.54,Other,DBS Live Fresh,2025-06-12 07:30:53,Sale promo
Utilities Co,34.18,Services,DBS Live Fresh,2025-10-02 21:26:44,Delivery fee
AirAsia,1266.10,Travel,Amex Gold,2025-10-19 13:23:24,
Misc Store,87.22,Other,Citi Rewards,2025-09-23 17:29:00,
Netflix,11.51,Services,Amex Gold,2025-04-13 21:56:38,Coffee
Apple,89.02,Other,UOB One,2024-12-08 21:52:45,Hotel deposit
iCloud,25.82,Services,UOB One,2024-04-08 08:43:39,Groceries
IKEA,696.84,Shopping,UOB One,2024-08-14 16:27:14,
Dental Care,211.37,Health,Chase Sapphire Preferred,2025-06-13 17:50:16,
Uniqlo,991.80,Shopping,DBS Live Fresh,2024-10-02 22:48:24,Monthly subscription
Apple TV+,44.76,Entertainment,Chase Sapphire Preferred,2024-10-14 17:01:23,Pharmacy run
Apple,167.35,Other,Amex Gold,2024-04-15 10:27:22,Top-up
KFC,35.91,Food & Drinks,Chase Sapphire Preferred,2024-02-17 12:41:25,Delivery fee
Uber,781.97,Travel,Amex Gold,2024-10-16 20:42:39,Monthly subscription
Local Cafe,59.28,Food & Drinks,Citi Rewards,2024-05-16 09:31:24,
Starbucks,118.45,Food & Drinks,Amex Gold,2024-04-08 13:51:55,Monthly subscription
McDonald's,40.70,Food & Drinks,Chase Sapphire Preferred,2025-02-09 19:21:34,
Zara,257.64,Shopping,Chase Sapphire Preferred,2024-12-30 10:16:05,
Google,42.13,Other,DBS Live Fresh,2025-08-07 15:58:34,
Local Shop,276.94,Other,Amex Gold,2024-09-18 18:03:40,Coffee
Clinic,364.99,Health,Amex Gold,2024-02-24 09:16:09,Household items
Dental Care,331.42,Health,Citi Rewards,2024-10-24 09:52:54,
Grab,1251.37,Travel,UOB One,2025-02-25 18:17:39,
Starbucks,42.08,Food & Drinks,Citi Rewards,2025-02-08 18:37:20,Gift
Qantas,1078.57,Travel,Amex Gold,2025-01-24 08:47:00,
Apple TV+,62.70,Entertainment,DBS Live Fresh,2024-06-21 18:45:21,
Shell,233.50,Travel,Amex Gold,2024-12-02 15:44:04,
Zara,508.94,Shopping,UOB One,2025-06-14 20:42:38,Hotel deposit
Netflix,39.81,Services,Amex Gold,2024-03-11 18:26:10,Coffee
Subway,108.60,Food & Drinks,Citi Rewards,2024-12-09 22:45:19,
Spotify,1.14,Services,Chase Sapphire Preferred,2025-03-06 10:26:40,Membership renewal
Shell,270.40,Travel,Amex Gold,2024-10-03 19:00:38,
Dental Care,197.83,Health,UOB One,2025-03-26 22:01:50,Coffee
Dental Care,174.20,Health,DBS Live Fresh,2024-04-10 16:01:07,Sale promo
Apple TV+,8.26,Entertainment,Citi Rewards,2025-04-21 14:12:32,
Arcade,44.92,Entertainment,Amex Gold,2024-11-19 08:35:27,Fuel
Dental Care,161.97,Health,DBS Live Fresh,2024-02-17 07:34:56,Dinner with friends
Lazada,234.50,Shopping,UOB One,2025-03-02 11:54:09,
KFC,5.30,Food & Drinks,UOB One,2024-02-13 20:08:49,Membership renewal
AirAsia,1099.20,Travel,Chase Sapphire Preferred,2025-07-30 16:07:41,
Utilities Co,47.51,Services,DBS Live Fresh,2025-07-06 15:25:40,Membership renewal
Arcade,117.17,Entertainment,Citi Rewards,2025-01-08 08:18:45,
Expedia,1257.94,Travel,Amex Gold,2025-05-20 13:48:17,Coffee
Spotify,15.62,Services,DBS Live Fresh,2024-11-20 22:42:30,Top-up
Clinic,43.24,Health,UOB One,2025-04-22 19:46:08,Monthly subscription
Subway,115.00,Food & Drinks,UOB One,2025-06-15 14:01:14,
Cinema,28.10,Entertainment,UOB One,2025-06-14 08:32:38,Delivery fee
Starbucks,18.51,Food & Drinks,UOB One,2025-09-15 16:53:23,Dinner with friends
Utilities Co,22.42,Services,DBS Live Fresh,2025-06-14 14:43:28,Gift
Clinic,324.64,Health,Citi Rewards,2025-10-17 18:18:37,Membership renewal
Pharmacy,213.80,Health,Chase Sapphire Preferred,2024-08-24 14:08:35,
Local Shop,124.30,Other,Citi Rewards,2024-03-12 08:20:11,
Phone Carrier,3.89,Services,DBS Live Fresh,2024-06-18 18:03:52,
Clinic,215.10,Health,Amex Gold,2025-01-06 19:42:28,
Subway,105.27,Food & Drinks,DBS Live Fresh,2024-11-28 12:46:22,Delivery fee
Burger King,113.90,Food & Drinks,Amex Gold,2025-04-22 15:49:23,Lunch
Arcade,114.44,Entertainment,UOB One,2025-10-21 18:03:26,Pharmacy run
Apple,226.74,Other,Amex Gold,2025-04-15 11:45:53,Gift
Utilities Co,30.51,Services,UOB One,2024-11-30 16:32:42,Dinner with friends
Misc Store,137.57,Other,Citi Rewards,2025-09-19 17:50:34,
Misc Store,52.54,Other,Chase Sapphire Preferred,2024-08-17 19:09:03,
Qantas,518.22,Travel,Amex Gold,2025-03-04 20:39:35,
Google,137.91,Other,DBS Live Fresh,2025-09-17 11:59:08,Airport ride
Apple,199.20,Other,Chase Sapphire Preferred,2024-06-21 15:18:25,
Zara,1169.36,Shopping,DBS Live Fresh,2024-05-15 11:40:14,Groceries
Expedia,1027.51,Travel,Amex Gold,2024-12-03 22:59:00,
Dental Care,373.15,Health,Citi Rewards,2025-01-07 10:25:16,Gift
Apple,261.58,Other,Citi Rewards,2024-04-15 19:01:17,
Google,255.60,Other,UOB One,2024-09-19 21:08:58,
Utilities Co,50.17,Services,Chase Sapphire Preferred,2025-04-13 14:14:40,
Uniqlo,1423.27,Shopping,Chase Sapphire Preferred,2024-10-17 07:05:25,
Concerts,47.99,Entertainment,Chase Sapphire Preferred,2025-09-23 20:15:11,
Pharmacy,285.84,Health,UOB One,2024-05-17 09:47:03,
iCloud,47.96,Services,Amex Gold,2024-02-28 08:11:49,Sale promo
Lazada,1047.82,Shopping,UOB One,2025-10-13 14:05:09,Fuel
Burger King,81.17,Food & Drinks,Chase Sapphire Preferred,2024-10-06 21:38:37,Airport ride
Subway,107.20,Food & Drinks,Chase Sapphire Preferred,2024-11-29 11:43:54,Fuel
Apple TV+,44.74,Entertainment,Citi Rewards,2025-01-22 21:46:08,Dinner with friends
Starbucks,4.80,Food & Drinks,DBS Live Fresh,2024-10-17 08:11:57,Groceries
Lazada,222.76,Shopping,UOB One,2025-09-21 13:06:15,
AirAsia,243.32,Travel,Citi Rewards,2025-10-21 10:54:31,Sale promo
McDonald's,32.41,Food & Drinks,DBS Live Fresh,2024-09-06 21:07:30,Monthly subscription
Starbucks,93.30,Food & Drinks,UOB One,2024-12-01 16:32:21,
Uber,1130.22,Travel,Citi Rewards,2024-04-09 14:39:25,Hotel deposit
Local Shop,271.41,Other,DBS Live Fresh,2025-03-01 15:59:39,Household items
Qantas,1376.14,Travel,Chase Sapphire Preferred,2025-07-30 13:04:50,Airport ride
Qantas,262.61,Travel,DBS Live Fresh,2024-08-16 18:49:16,
Apple TV+,79.13,Entertainment,UOB One,2024-02-13 21:42:19,Hotel deposit
Starbucks,114.60,Food & Drinks,DBS Live Fresh,2025-03-25 16:25:01,Airport ride
Google,194.21,Other,Citi Rewards,2025-09-15 13:18:12,
Pharmacy,138.13,Health,DBS Live Fresh,2024-11-20 10:41:21,Airport ride
KFC,70.36,Food & Drinks,DBS Live Fresh,2024-11-24 19:39:16,
Local Shop,123.11,Other,Chase Sapphire Preferred,2024-12-01 17:33:51,
Local Cafe,27.39,Food & Drinks,Amex Gold,2025-10-11 13:24:20,Delivery fee
Google,74.79,Other,Chase Sapphire Preferred,2024-06-20 15:21:03,Top-up
Lazada,1144.67,Shopping,Chase Sapphire Preferred,2024-04-07 13:22:40,
Grab,1242.34,Travel,Citi Rewards,2024-10-10 11:26:25,
Utilities Co,57.02,Services,Amex Gold,2024-05-14 10:25:32,Lunch
Netflix,57.98,Services,Chase Sapphire Preferred,2024-11-20 17:44:57,
Shell,1115.16,Travel,Citi Rewards,2024-08-19 20:36:17,Top-up
Local Cafe,83.67,Food & Drinks,UOB One,2025-10-03 17:08:54,
Subway,58.78,Food & Drinks,Chase Sapphire Preferred,2025-03-04 10:00:32,
Local Shop,259.37,Other,Citi Rewards,2025-05-10 16:21:18,Membership renewal
Uniqlo,387.30,Shopping,Chase Sapphire Preferred,2024-05-20 21:42:17,Gift
Local Shop,79.21,Other,UOB One,2025-09-08 17:16:31,Membership renewal
Phone Carrier,25.80,Services,Chase Sapphire Preferred,2025-10-20 22:05:08,Dinner with friends
Amazon,1446.59,Shopping,Citi Rewards,2024-12-30 13:10:40,
Netflix,37.53,Services,UOB One,2024-10-14 10:14:50,Lunch
Pharmacy,247.86,Health,UOB One,2024-06-18 15:47:21,
Spotify,13.32,Services,UOB One,2025-02-26 12:16:24,Gift
Misc Store,253.46,Other,Amex Gold,2024-06-01 07:25:41,Lunch
Local Shop,276.85,Other,Citi Rewards,2024-04-08 12:18:41,Airport ride
